,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
sub-matching-sat-40,2.82,2.37,0.26,430064,9.33,8.58,0.71,1216340,,,,,15.29,9.99,5.26,30528,
sub-matching-sat-3,2.15,1.83,0.20,315196,6.48,5.97,0.45,737372,,,,,10.63,7.07,3.53,28260,
sub-matching-sat-18,2.14,1.74,0.20,291388,7.52,7.11,0.39,631176,,,,,10.73,7.61,3.09,28452,
sub-matching-unsat-25,5.52,4.78,0.54,926344,8.12,7.75,0.35,526276,,,,,10.06,7.35,2.68,28244,
sub-matching-unsat-8,11.69,10.73,0.78,1297788,14.04,13.12,0.87,1363268,,,,,19.60,13.76,5.77,31224,
sub-matching-sat-36,1.96,1.70,0.17,285164,7.48,6.98,0.47,756700,,,,,11.53,7.87,3.63,28544,
sub-matching-unsat-16,6.13,5.48,0.55,924488,8.16,7.76,0.37,580968,,,,,10.93,7.98,2.92,28336,
sub-matching-sat-5,1.79,1.55,0.16,232804,9.05,8.56,0.45,726080,,,,,9.79,7.52,2.23,28880,
sub-matching-unsat-36,2.08,1.73,0.09,277552,9.37,8.87,0.47,797144,,,,,10.51,7.96,2.52,28852,
sub-matching-sat-27,6.20,5.72,0.24,1042208,6.47,6.01,0.44,695100,,,,,8.08,5.86,2.19,28000,
sub-matching-unsat-39,2.10,1.91,0.09,277048,8.00,7.50,0.47,746764,,,,,9.44,7.08,2.33,28644,
sub-matching-unsat-29,2.32,1.94,0.11,394180,11.77,11.08,0.66,1006600,,,,,12.95,9.90,3.01,29144,
sub-matching-unsat-11,2.64,2.24,0.13,439616,11.93,11.08,0.81,1267532,,,,,15.04,11.19,3.81,31020,
sub-matching-unsat-17,9.53,9.02,0.27,1052792,12.58,11.90,0.59,946916,,,,,13.00,10.08,2.88,30532,
sub-matching-sat-24,2.19,1.99,0.10,319152,9.31,8.82,0.46,718824,,,,,9.98,7.58,2.37,28544,
sub-matching-unsat-20,7.36,6.80,0.29,1171372,10.68,9.98,0.65,1066220,,,,,12.57,9.22,3.31,30600,
sub-matching-sat-28,6.35,5.95,0.19,740024,6.25,5.98,0.24,398836,,,,,6.02,4.96,1.03,27720,
