,bass,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
benchmark_0125,,,,,,,,,4.19,3.93,0.16,405372,0.06,0.04,0.01,31416,
benchmark_0133,,,,,,,,,3.85,3.65,0.14,396696,0.06,0.04,0.01,31420,
benchmark_0171,,,,,,,,,3.73,3.58,0.13,399760,0.06,0.04,0.01,31448,
benchmark_0361,,,,,,,,,3.77,3.57,0.12,396100,0.06,0.04,0.02,31400,
benchmark_0115,,,,,,,,,4.00,3.84,0.14,390540,0.07,0.05,0.01,31428,
benchmark_0311,,,,,,,,,4.17,3.95,0.19,410320,0.06,0.05,0.01,31480,
benchmark_0208,,,,,,,,,3.94,3.75,0.16,403268,0.06,0.04,0.01,31448,
benchmark_0205,,,,,,,,,3.91,3.75,0.14,401352,0.06,0.04,0.02,31424,
benchmark_0102,,,,,,,,,4.06,3.83,0.17,407916,0.06,0.04,0.01,31416,
benchmark_0058,,,,,,,,,4.15,3.99,0.13,411944,0.06,0.04,0.01,31420,
benchmark_0360,,,,,,,,,3.99,3.81,0.14,396228,0.06,0.05,0.01,31424,
benchmark_0370,,,,,,,,,4.00,3.81,0.15,393916,0.06,0.04,0.02,31420,
benchmark_0455,,,,,,,,,3.92,3.75,0.14,410060,0.06,0.04,0.01,31416,
benchmark_0051,,,,,,,,,3.77,3.57,0.17,391928,0.07,0.05,0.01,31456,
benchmark_0122,,,,,,,,,4.20,4.00,0.16,432276,0.07,0.05,0.01,31456,
benchmark_0239,,,,,,,,,3.84,3.66,0.13,414244,0.07,0.05,0.01,31420,
benchmark_0297,,,,,,,,,3.79,3.61,0.12,397636,0.07,0.05,0.01,31424,
benchmark_0270,,,,,,,,,3.78,3.60,0.15,412548,0.06,0.04,0.01,31424,
benchmark_0055,,,,,,,,,3.82,3.65,0.15,407588,0.06,0.04,0.01,31408,
benchmark_0374,,,,,,,,,3.90,3.71,0.14,425832,0.06,0.04,0.01,31448,
benchmark_0088,,,,,,,,,3.77,3.60,0.14,396900,0.06,0.04,0.02,31392,
benchmark_0252,,,,,,,,,3.64,3.46,0.15,404756,0.07,0.04,0.02,31456,
benchmark_0365,,,,,,,,,3.72,3.54,0.14,399792,0.07,0.05,0.01,31420,
benchmark_0377,,,,,,,,,3.88,3.69,0.15,403588,0.06,0.04,0.01,31444,
benchmark_0494,,,,,,,,,3.64,3.47,0.15,402956,0.06,0.04,0.02,31400,
benchmark_0145,,,,,,,,,3.88,3.73,0.13,411408,0.07,0.05,0.01,31468,
benchmark_0188,,,,,,,,,3.95,3.77,0.14,409208,0.07,0.05,0.01,31424,
benchmark_0262,,,,,,,,,3.67,3.47,0.14,408396,0.06,0.04,0.01,31440,
benchmark_0160,,,,,,,,,3.87,3.71,0.13,413180,0.06,0.04,0.01,31396,
benchmark_0204,,,,,,,,,3.82,3.64,0.14,397940,0.07,0.05,0.01,31424,
benchmark_0124,,,,,,,,,3.69,3.47,0.13,396696,0.07,0.04,0.02,31424,
benchmark_0022,,,,,,,,,3.57,3.39,0.14,393684,0.07,0.05,0.01,31400,
benchmark_0407,,,,,,,,,3.49,3.31,0.16,390628,0.06,0.04,0.01,31448,
benchmark_0071,,,,,,,,,3.75,3.58,0.14,403300,0.06,0.04,0.01,31424,
benchmark_0079,,,,,,,,,3.85,3.69,0.13,400796,0.06,0.04,0.01,31424,
benchmark_0087,,,,,,,,,3.55,3.36,0.14,434136,0.06,0.04,0.01,31424,
benchmark_0396,,,,,,,,,4.01,3.83,0.14,418316,0.06,0.04,0.01,31444,
benchmark_0260,,,,,,,,,3.71,3.50,0.16,424396,0.07,0.04,0.02,31420,
benchmark_0371,,,,,,,,,3.56,3.39,0.14,411036,0.07,0.05,0.01,31448,
benchmark_0416,,,,,,,,,3.65,3.44,0.16,418044,0.06,0.05,0.01,31396,
benchmark_0220,,,,,,,,,3.67,3.47,0.17,413496,0.06,0.05,0.01,31436,
benchmark_0435,,,,,,,,,3.94,3.74,0.15,410116,0.06,0.05,0.01,31456,
benchmark_0330,,,,,,,,,4.11,3.89,0.15,412144,0.06,0.04,0.02,31448,
benchmark_0404,,,,,,,,,3.88,3.71,0.14,399564,0.06,0.05,0.01,31424,
benchmark_0421,,,,,,,,,3.67,3.53,0.11,391964,0.06,0.04,0.01,31448,
benchmark_0403,,,,,,,,,3.58,3.38,0.16,395616,0.07,0.04,0.02,31424,
benchmark_0448,,,,,,,,,3.72,3.56,0.14,391724,0.07,0.05,0.01,31396,
benchmark_0150,,,,,,,,,3.63,3.44,0.16,397904,0.06,0.05,0.01,31444,
benchmark_0154,,,,,,,,,3.73,3.53,0.16,393016,0.06,0.04,0.01,31432,
benchmark_0290,,,,,,,,,3.77,3.58,0.14,398600,0.06,0.05,0.01,31424,
benchmark_0086,,,,,,,,,3.74,3.58,0.14,392304,0.06,0.04,0.02,31400,
benchmark_0419,,,,,,,,,3.51,3.31,0.14,385404,0.06,0.04,0.01,31448,
benchmark_0005,,,,,,,,,4.21,4.03,0.16,408612,0.06,0.04,0.01,31424,
benchmark_0368,,,,,,,,,3.60,3.40,0.15,391828,0.07,0.05,0.01,31416,
benchmark_0331,,,,,,,,,3.76,3.58,0.12,411388,0.07,0.05,0.01,31448,
benchmark_0332,,,,,,,,,3.65,3.46,0.15,390196,0.06,0.04,0.02,31424,
benchmark_0214,,,,,,,,,3.73,3.58,0.13,404708,0.06,0.05,0.01,31420,
benchmark_0325,,,,,,,,,3.40,3.23,0.13,397168,0.06,0.04,0.01,31452,
benchmark_0011,,,,,,,,,3.55,3.39,0.13,380720,0.06,0.04,0.01,31408,
benchmark_0498,,,,,,,,,3.72,3.53,0.14,393076,0.06,0.04,0.02,31428,
benchmark_0057,,,,,,,,,3.95,3.77,0.14,409796,0.06,0.04,0.01,31428,
benchmark_0014,,,,,,,,,4.12,3.95,0.13,427912,0.07,0.05,0.01,31424,
benchmark_0413,,,,,,,,,3.84,3.69,0.13,408844,0.07,0.05,0.01,31428,
benchmark_0383,,,,,,,,,4.06,3.88,0.15,399088,0.07,0.04,0.02,31456,
benchmark_0327,,,,,,,,,3.57,3.43,0.11,396416,0.07,0.04,0.02,31420,
benchmark_0314,,,,,,,,,3.99,3.82,0.13,416796,0.06,0.04,0.01,31396,
benchmark_0477,,,,,,,,,3.79,3.61,0.14,387620,0.06,0.05,0.01,31444,
benchmark_0196,,,,,,,,,4.00,3.76,0.16,412948,0.06,0.05,0.01,31432,
benchmark_0085,,,,,,,,,3.63,3.47,0.13,398400,0.06,0.04,0.01,31432,
benchmark_0400,,,,,,,,,3.68,3.50,0.14,422268,0.07,0.05,0.01,31424,
benchmark_0344,,,,,,,,,3.87,3.71,0.14,413516,0.07,0.04,0.02,31408,
benchmark_0114,,,,,,,,,3.85,3.69,0.13,397092,0.07,0.04,0.02,31392,
benchmark_0195,,,,,,,,,3.66,3.49,0.13,391976,0.06,0.05,0.01,31444,
benchmark_0500,,,,,,,,,4.04,3.89,0.12,402812,0.06,0.05,0.01,31420,
benchmark_0180,,,,,,,,,3.81,3.66,0.12,392172,0.06,0.04,0.01,31452,
benchmark_0283,,,,,,,,,3.67,3.47,0.13,397732,0.06,0.04,0.01,31420,
benchmark_0468,,,,,,,,,3.58,3.40,0.15,403820,0.07,0.04,0.01,31428,
benchmark_0305,,,,,,,,,3.65,3.48,0.14,413536,0.06,0.04,0.01,31392,
benchmark_0320,,,,,,,,,3.97,3.81,0.14,423884,0.06,0.04,0.01,31472,
benchmark_0474,,,,,,,,,4.20,4.01,0.15,407888,0.06,0.05,0.01,31444,
benchmark_0141,,,,,,,,,3.73,3.57,0.12,399160,0.06,0.04,0.02,31444,
benchmark_0254,,,,,,,,,3.73,3.58,0.13,402196,0.06,0.04,0.01,31456,
benchmark_0272,,,,,,,,,3.89,3.72,0.14,411988,0.06,0.04,0.01,31428,
benchmark_0080,,,,,,,,,3.60,3.37,0.17,419616,0.06,0.04,0.02,31416,
benchmark_0031,,,,,,,,,3.93,3.73,0.16,399240,0.06,0.04,0.01,31452,
benchmark_0168,,,,,,,,,3.75,3.57,0.14,421296,0.06,0.05,0.01,31464,
benchmark_0072,,,,,,,,,3.92,3.76,0.13,414700,0.07,0.05,0.01,31428,
benchmark_0440,,,,,,,,,3.57,3.40,0.13,394484,0.08,0.04,0.02,31416,
benchmark_0163,,,,,,,,,3.73,3.57,0.13,395796,0.07,0.05,0.01,31424,
benchmark_0070,,,,,,,,,3.75,3.57,0.14,417076,0.07,0.05,0.02,31424,
benchmark_0398,,,,,,,,,4.10,3.90,0.16,409224,0.07,0.05,0.02,31420,
benchmark_0213,,,,,,,,,3.81,3.56,0.18,433224,0.06,0.04,0.01,31500,
benchmark_0493,,,,,,,,,3.75,3.57,0.15,413584,0.07,0.04,0.02,31424,
benchmark_0393,,,,,,,,,3.83,3.66,0.14,402248,0.07,0.05,0.01,31496,
benchmark_0013,,,,,,,,,3.54,3.36,0.15,424664,0.07,0.05,0.01,31404,
benchmark_0464,,,,,,,,,3.81,3.63,0.13,409664,0.07,0.05,0.01,31444,
benchmark_0003,,,,,,,,,3.84,3.67,0.14,408248,0.07,0.04,0.02,31420,
benchmark_0275,,,,,,,,,3.80,3.63,0.13,403616,0.07,0.05,0.01,31428,
benchmark_0129,,,,,,,,,3.98,3.82,0.13,431680,0.07,0.05,0.01,31420,
benchmark_0309,,,,,,,,,4.02,3.78,0.16,411804,0.07,0.05,0.01,31444,
benchmark_0436,,,,,,,,,3.62,3.45,0.15,391136,0.07,0.04,0.02,31416,
benchmark_0248,,,,,,,,,3.77,3.61,0.14,391732,0.07,0.04,0.01,31420,
benchmark_0388,,,,,,,,,3.85,3.69,0.13,421740,0.07,0.05,0.01,31424,
benchmark_0201,,,,,,,,,3.76,3.59,0.13,407432,0.07,0.05,0.01,31432,
benchmark_0235,,,,,,,,,3.83,3.67,0.12,398996,0.07,0.04,0.02,31388,
benchmark_0499,,,,,,,,,3.84,3.67,0.13,400456,0.07,0.05,0.01,31420,
benchmark_0451,,,,,,,,,3.81,3.65,0.12,395472,0.07,0.05,0.01,31428,
benchmark_0378,,,,,,,,,3.73,3.53,0.14,398040,0.07,0.04,0.02,31444,
benchmark_0342,,,,,,,,,3.64,3.45,0.15,407584,0.07,0.04,0.02,31420,
benchmark_0182,,,,,,,,,3.76,3.58,0.15,399708,0.07,0.05,0.02,31420,
benchmark_0083,,,,,,,,,3.80,3.64,0.13,396244,0.07,0.04,0.01,31392,
benchmark_0065,,,,,,,,,3.58,3.40,0.15,395800,0.07,0.05,0.01,31444,
benchmark_0061,,,,,,,,,4.12,3.94,0.14,392896,0.07,0.05,0.01,31448,
benchmark_0225,,,,,,,,,3.60,3.42,0.13,398532,0.07,0.05,0.01,31444,
benchmark_0209,,,,,,,,,3.79,3.60,0.14,408456,0.07,0.05,0.01,31444,
benchmark_0340,,,,,,,,,3.77,3.57,0.16,402024,0.07,0.05,0.01,31452,
benchmark_0312,,,,,,,,,3.85,3.64,0.16,394580,0.07,0.04,0.02,31404,
benchmark_0444,,,,,,,,,3.69,3.51,0.15,420736,0.06,0.04,0.02,31452,
benchmark_0376,,,,,,,,,3.67,3.47,0.16,399976,0.06,0.04,0.01,31408,
benchmark_0140,,,,,,,,,3.76,3.59,0.14,405400,0.06,0.05,0.01,31396,
benchmark_0041,,,,,,,,,3.91,3.74,0.14,411728,0.06,0.05,0.00,31444,
