bench,bass_time,cvc5_time,ostrich_time,z3_time
instance02130.smt2,0.57,0.04,1.73,0.07
instance02140.smt2,0.49,0.03,1.89,0.06
instance02146.smt2,0.58,0.02,1.75,0.07
instance02153.smt2,0.61,0.04,2.01,0.05
instance02169.smt2,0.57,0.04,1.85,0.06
instance02170.smt2,0.56,0.03,1.85,0.06
instance02172.smt2,0.61,0.04,1.84,0.07
instance02176.smt2,0.51,0.03,1.84,0.06
instance02177.smt2,0.59,0.03,2.01,0.07
instance02179.smt2,0.57,0.03,1.82,0.06
instance02184.smt2,0.56,0.03,1.71,0.06
instance02187.smt2,0.59,0.02,1.84,0.07
instance02188.smt2,0.5,0.03,1.79,0.06
instance02192.smt2,0.48,0.02,1.58,0.07
instance02197.smt2,0.57,0.02,1.87,0.06
instance02212.smt2,0.61,0.04,1.95,0.06
instance02216.smt2,0.48,0.05,1.77,0.07
instance02219.smt2,0.48,0.03,1.96,0.06
instance02231.smt2,0.5,0.03,2.07,0.06
instance02265.smt2,0.52,0.02,1.91,0.06
instance02270.smt2,0.58,0.03,1.64,0.06
instance02273.smt2,0.45,0.04,1.85,0.06
instance02274.smt2,0.5,0.04,1.9,0.06
instance02279.smt2,0.44,0.04,1.88,0.06
instance02299.smt2,0.53,0.02,1.67,0.08
instance02304.smt2,0.53,0.04,1.87,0.07
instance02306.smt2,0.48,0.04,2.03,0.09
instance02314.smt2,0.47,0.04,1.98,0.05
instance02320.smt2,0.43,0.03,1.91,0.06
instance02324.smt2,0.56,0.02,1.82,0.06
instance02327.smt2,0.56,0.04,1.85,0.07
instance02332.smt2,0.57,0.03,1.97,0.07
instance02345.smt2,0.48,0.04,1.74,0.07
instance02354.smt2,0.58,0.03,1.94,0.06
instance02357.smt2,0.51,0.04,1.83,0.06
instance02358.smt2,0.55,0.03,1.93,0.09
instance02365.smt2,0.52,0.03,1.98,0.06
instance02366.smt2,0.59,0.03,1.97,0.07
instance02380.smt2,0.54,0.04,2.02,0.06
instance02383.smt2,0.57,0.03,1.82,0.08
instance02390.smt2,0.57,0.05,1.86,0.06
instance02395.smt2,0.48,0.03,2.02,0.07
instance02398.smt2,0.53,0.02,1.93,0.06
instance02399.smt2,0.51,0.03,1.8,0.07
instance02403.smt2,0.49,0.02,1.86,0.1
instance02413.smt2,0.48,0.03,1.83,0.06
instance02416.smt2,0.56,0.03,1.82,0.07
instance02427.smt2,0.51,0.03,1.81,0.05
instance02429.smt2,0.44,0.03,1.83,0.06
instance02439.smt2,0.51,0.02,1.97,0.06
instance02451.smt2,0.51,0.02,1.86,0.06
instance02458.smt2,0.48,0.03,1.96,0.08
instance02459.smt2,0.55,0.03,1.78,0.07
instance02468.smt2,0.5,0.04,1.85,0.07
instance02478.smt2,0.5,0.04,1.97,0.06
instance02481.smt2,0.58,0.03,1.76,0.06
instance02482.smt2,0.55,0.04,2.04,0.08
instance02489.smt2,0.51,0.04,1.88,0.06
instance02507.smt2,0.51,0.04,1.75,0.06
instance02514.smt2,0.52,0.02,1.81,0.11
instance02518.smt2,0.53,0.02,2.18,0.07
instance02520.smt2,0.55,0.03,1.8,0.08
instance02542.smt2,0.52,0.03,1.62,0.06
instance02573.smt2,0.47,0.03,1.72,0.06
instance02586.smt2,0.53,0.03,2.07,0.06
instance02591.smt2,0.54,0.04,1.82,0.06
instance02596.smt2,0.57,0.03,1.75,0.05
instance02601.smt2,0.5,0.03,2.03,0.06
instance02622.smt2,0.58,0.04,1.8,0.07
instance02678.smt2,0.55,0.03,1.98,0.06
instance02686.smt2,0.48,0.04,1.87,0.06
instance02697.smt2,0.45,0.04,2.07,0.06
instance02701.smt2,0.56,0.03,1.85,0.07
instance02715.smt2,0.51,0.04,1.93,0.06
instance02732.smt2,0.47,0.04,1.7,0.06
instance02733.smt2,0.58,0.02,1.91,0.07
instance02743.smt2,0.57,0.05,1.88,0.07
instance02744.smt2,0.51,0.03,2.03,0.06
instance02745.smt2,0.54,0.04,1.7,0.06
instance02753.smt2,0.54,0.02,1.77,0.1
instance02758.smt2,0.52,0.04,1.91,0.07
instance02759.smt2,0.64,0.02,1.83,0.07
instance02770.smt2,0.53,0.04,1.79,0.07
instance02771.smt2,0.58,0.04,1.96,0.06
instance02777.smt2,0.47,0.03,1.9,0.07
instance02800.smt2,0.58,0.03,1.87,0.05
