,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
01_track_199,,,,,0.04,0.02,0.01,8212,2.61,2.46,0.10,223756,0.06,0.04,0.01,27868,
01_track_2,,,,,0.04,0.02,0.00,7840,2.16,2.05,0.09,217396,0.05,0.04,0.01,27372,
01_track_20,,,,,0.03,0.01,0.00,7812,3.48,3.30,0.15,272784,0.05,0.03,0.01,27280,
01_track_200,0.48,0.43,0.04,60116,0.03,0.01,0.00,6328,1.80,1.70,0.08,211208,0.05,0.03,0.01,24456,
01_track_21,1.15,1.06,0.08,111788,0.05,0.01,0.00,7508,20.27,19.90,0.30,755920,0.05,0.03,0.01,24476,
01_track_22,0.75,0.69,0.05,82864,0.04,0.02,0.00,8172,5.20,5.03,0.14,293020,0.06,0.04,0.01,27768,
01_track_23,,,,,0.06,0.01,0.01,7932,96.12,94.59,0.79,793532,0.05,0.04,0.01,27760,
01_track_24,1.85,1.71,0.12,198756,0.07,0.01,0.01,7928,4.42,4.25,0.15,384736,0.06,0.04,0.02,27892,
01_track_25,,,,,0.05,0.02,0.00,8412,3.32,3.17,0.13,275592,0.07,0.05,0.01,28816,
01_track_26,30.47,29.58,0.81,652232,0.04,0.02,0.01,8116,2.42,2.29,0.11,221076,0.06,0.04,0.01,27520,
01_track_27,0.62,0.55,0.05,64052,0.04,0.01,0.00,7516,4.36,4.21,0.13,260648,0.05,0.03,0.01,24464,
01_track_28,,,,,0.04,0.02,0.00,8276,35.91,35.42,0.39,767420,0.07,0.05,0.01,28288,
01_track_29,1.36,1.25,0.09,133124,0.05,0.02,0.00,7860,8.16,7.71,0.41,702560,0.06,0.04,0.01,27844,
01_track_3,4.09,3.72,0.35,457212,0.04,0.01,0.00,7720,8.50,8.10,0.37,671328,0.06,0.03,0.02,27408,
01_track_30,10.38,9.79,0.55,642348,0.04,0.02,0.01,8080,3.75,3.54,0.18,247616,0.05,0.03,0.01,27280,
