,a-str,,,,cvc5,,,,ostrich,,,,z3-noodler
filename,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem,real,user,sys,mem
instance01271,0.59,0.50,0.04,66472,0.04,0.01,0.01,7140,1.86,1.74,0.11,220384,0.10,0.04,0.01,26268,
instance01273,0.55,0.50,0.04,64136,0.04,0.01,0.01,6292,1.65,1.52,0.11,205964,0.06,0.03,0.01,24484,
instance01274,0.58,0.51,0.04,64964,0.02,0.01,0.00,6292,1.70,1.55,0.11,208244,0.06,0.04,0.01,24484,
instance01275,0.52,0.46,0.03,66324,0.06,0.01,0.00,7136,1.97,1.85,0.10,222216,0.11,0.04,0.01,26268,
instance01277,0.57,0.50,0.04,67092,0.04,0.01,0.00,6292,2.15,2.03,0.11,231300,0.08,0.03,0.01,24484,
instance01287,0.60,0.51,0.04,67692,0.03,0.01,0.01,7136,1.94,1.82,0.11,221068,0.07,0.03,0.01,26268,
instance01297,0.49,0.44,0.04,65084,0.03,0.01,0.00,6296,1.89,1.78,0.10,210024,0.10,0.03,0.01,24484,
instance01298,0.53,0.48,0.03,66480,0.03,0.01,0.00,6292,1.75,1.61,0.12,210896,0.08,0.03,0.01,24484,
instance01325,0.52,0.47,0.04,64180,0.03,0.01,0.00,6292,2.05,1.94,0.09,222388,0.06,0.03,0.01,24484,
instance01335,0.50,0.44,0.04,63152,0.03,0.01,0.00,6296,1.97,1.86,0.11,221012,0.06,0.03,0.01,24484,
instance01338,0.56,0.51,0.04,66324,0.03,0.01,0.00,6292,1.71,1.60,0.09,206340,0.06,0.03,0.01,24484,
instance01353,0.57,0.51,0.05,66448,0.04,0.01,0.00,7136,1.89,1.75,0.10,218564,0.06,0.04,0.01,26272,
instance01355,0.56,0.52,0.03,67256,0.03,0.01,0.00,7140,1.91,1.80,0.10,220176,0.06,0.03,0.01,26268,
instance01359,0.54,0.48,0.04,66272,0.02,0.01,0.01,7140,1.84,1.74,0.09,218312,0.06,0.03,0.01,26272,
instance01360,0.56,0.49,0.03,66664,0.04,0.01,0.00,7144,1.67,1.54,0.12,204728,0.06,0.03,0.01,26272,
instance01361,0.60,0.52,0.05,67608,0.03,0.01,0.01,7136,1.98,1.86,0.10,222556,0.09,0.04,0.01,26272,
instance01367,0.56,0.49,0.05,59792,0.04,0.01,0.00,7140,1.94,1.82,0.10,220360,0.06,0.04,0.00,26280,
instance01368,0.57,0.51,0.04,58316,0.04,0.01,0.00,6292,1.92,1.79,0.11,218900,0.06,0.03,0.01,24484,
instance01369,0.61,0.54,0.05,59740,0.03,0.01,0.00,7136,2.03,1.92,0.09,224984,0.06,0.03,0.01,26280,
instance01376,0.56,0.50,0.04,58264,0.04,0.01,0.00,6292,1.91,1.78,0.11,215848,0.06,0.03,0.01,24484,
instance01401,0.63,0.54,0.05,60120,0.02,0.01,0.01,7136,1.82,1.69,0.09,215400,0.07,0.03,0.01,26268,
instance01402,0.57,0.50,0.04,59140,0.02,0.01,0.01,7140,1.80,1.67,0.11,216980,0.06,0.03,0.01,26272,
instance01408,0.61,0.55,0.04,60404,0.03,0.01,0.00,7136,1.96,1.84,0.10,222476,0.06,0.03,0.01,26272,
instance01410,0.61,0.54,0.04,58700,0.04,0.01,0.01,7140,1.77,1.67,0.09,222564,0.06,0.03,0.01,26272,
instance01412,0.59,0.51,0.06,60788,0.04,0.01,0.00,6292,2.02,1.90,0.10,222536,0.05,0.03,0.00,24484,
instance01414,0.57,0.51,0.04,58388,0.03,0.01,0.01,7144,1.72,1.61,0.10,208920,0.09,0.04,0.01,26272,
instance01425,0.57,0.52,0.05,58912,0.03,0.01,0.00,6292,2.11,1.96,0.13,232892,0.06,0.03,0.01,24484,
instance01427,0.60,0.53,0.04,60124,0.03,0.01,0.00,6292,1.75,1.61,0.12,210352,0.05,0.02,0.01,24484,
instance01428,0.56,0.49,0.04,59868,0.04,0.01,0.01,7144,1.79,1.69,0.08,213352,0.05,0.03,0.00,26272,
instance01447,0.55,0.50,0.04,58116,0.05,0.01,0.00,6292,1.68,1.52,0.12,211456,0.06,0.03,0.01,24484,
instance01458,0.62,0.55,0.05,60660,0.04,0.01,0.01,7136,1.83,1.69,0.12,217764,0.06,0.03,0.01,26268,
instance01468,0.65,0.56,0.06,60352,0.06,0.01,0.01,7136,1.96,1.85,0.09,220448,0.06,0.03,0.01,26272,
instance01474,0.59,0.52,0.05,59032,0.03,0.01,0.00,7140,1.82,1.72,0.08,216704,0.05,0.03,0.01,26272,
instance01476,0.63,0.55,0.06,61716,0.04,0.01,0.00,7136,1.80,1.70,0.09,210824,0.05,0.03,0.01,26268,
instance01478,0.56,0.50,0.04,58068,0.04,0.01,0.00,6292,2.15,2.03,0.11,231852,0.05,0.03,0.00,24484,
instance01484,0.58,0.52,0.04,58024,0.02,0.01,0.00,6292,2.06,1.95,0.10,224676,0.05,0.03,0.01,24484,
instance01491,0.60,0.52,0.05,59284,0.03,0.01,0.00,6292,1.97,1.84,0.11,219224,0.06,0.03,0.01,24484,
instance01492,0.54,0.48,0.06,58264,0.04,0.01,0.00,6288,1.85,1.68,0.11,209624,0.06,0.03,0.01,24484,
instance01495,0.60,0.54,0.05,60304,0.03,0.02,0.00,7136,1.88,1.76,0.09,218428,0.06,0.04,0.01,26268,
instance01523,0.61,0.54,0.04,60348,0.03,0.01,0.00,7144,1.97,1.84,0.12,221180,0.08,0.03,0.01,26284,
instance01526,0.52,0.46,0.05,64380,0.03,0.01,0.00,6292,1.84,1.72,0.09,214432,0.06,0.04,0.00,24484,
instance01527,0.56,0.51,0.03,66484,0.02,0.01,0.00,7136,1.94,1.84,0.09,221012,0.06,0.03,0.01,26272,
instance01544,0.53,0.47,0.03,66504,0.04,0.01,0.00,6296,1.67,1.54,0.11,205060,0.05,0.03,0.01,24484,
instance01558,0.58,0.52,0.04,64776,0.04,0.01,0.00,6296,1.97,1.86,0.09,219232,0.06,0.04,0.01,24484,
instance01567,0.55,0.50,0.03,67224,0.03,0.01,0.00,7136,1.89,1.72,0.11,214528,0.07,0.04,0.01,26272,
instance01568,0.62,0.57,0.04,67400,0.02,0.01,0.00,7136,1.92,1.78,0.13,219220,0.06,0.03,0.01,26276,
instance01576,0.53,0.47,0.03,65556,0.03,0.01,0.00,6292,2.04,1.93,0.09,221400,0.05,0.03,0.01,24484,
instance01592,0.49,0.42,0.04,65144,0.03,0.01,0.00,6300,1.58,1.47,0.09,207444,0.05,0.03,0.01,24472,
instance01593,0.58,0.51,0.04,65108,0.03,0.01,0.00,6300,1.71,1.60,0.08,212348,0.06,0.03,0.01,24484,
instance01610,0.58,0.51,0.04,65124,0.03,0.01,0.00,6292,1.74,1.59,0.14,209280,0.06,0.03,0.01,24484,
instance01612,0.59,0.50,0.05,64900,0.03,0.01,0.00,6292,1.77,1.64,0.12,211392,0.07,0.03,0.01,24484,
instance01614,0.58,0.51,0.04,65092,0.03,0.01,0.00,6296,1.94,1.84,0.09,223348,0.06,0.03,0.01,24484,
instance01617,0.58,0.52,0.04,64732,0.04,0.01,0.00,6292,1.79,1.67,0.11,214200,0.07,0.04,0.01,24484,
instance01633,0.60,0.54,0.03,67708,0.04,0.01,0.01,7140,1.89,1.78,0.09,217308,0.05,0.04,0.01,26268,
instance01653,0.62,0.55,0.04,65088,0.03,0.01,0.00,6292,1.82,1.67,0.10,215324,0.06,0.03,0.00,24484,
instance01657,0.56,0.49,0.04,68912,0.03,0.01,0.00,7136,1.94,1.80,0.13,227412,0.06,0.04,0.01,26272,
instance01658,0.55,0.49,0.03,67496,0.04,0.01,0.01,7140,1.93,1.82,0.09,217576,0.05,0.03,0.01,26268,
instance01660,0.56,0.50,0.04,66264,0.04,0.01,0.00,7144,1.79,1.67,0.10,214592,0.06,0.03,0.01,26272,
instance01666,0.55,0.52,0.03,64196,0.03,0.00,0.01,6296,1.91,1.79,0.11,217076,0.05,0.03,0.01,24484,
instance01669,0.61,0.54,0.04,68852,0.02,0.02,0.00,7140,1.80,1.69,0.09,214536,0.06,0.03,0.01,26268,
instance01688,0.59,0.53,0.04,66452,0.04,0.01,0.00,7136,1.95,1.84,0.09,222544,0.07,0.03,0.01,26268,
