tool		SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025	SPF Tue Oct 14 06:39:02 PM MDT 2025
run set		String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-MAS.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java	String-z3.RuntimeException-Java
sv-benchmarks/java/		status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
securibench/Basic1.yml	true	true	3.391621	1.800634170009289	94.363648	true	3.30124	1.790090851020068	113.135616
securibench/Basic10.yml	true	true	3.252028	1.7411159280163702	94.527488	true	3.23146	1.730260135984281	126.050304
securibench/Datastructures6.yml	true	true	5.309896	2.7786946629930753	341.188608	true	5.708944	2.986006158986129	365.338624
securibench/Refl3.yml	true	true	3.307181	1.7825553040020168	95.211520	true	3.200681	1.7393059729947709	112.922624
securibench/Pred5.yml	true	true	3.205672	1.7230111690005288	94.113792	true	3.526857	1.868086868984392	125.206528
securibench/Collections5.yml	true	true	3.187622	1.712641774007352	106.688512	true	3.387417	1.825492795003811	128.393216
securibench/Basic34.yml	true	true	3.399211	1.8287584479840007	116.670464	true	3.082539	1.6798629219993018	113.131520
securibench/Basic30.yml	true	true	3.267509	1.7619378730014432	94.167040	true	3.235887	1.7534536409948487	112.431104
securibench/Inter13.yml	true	true	3.583033	1.9121286630106624	115.167232	true	3.504056	1.9050689050054643	136.925184
securibench/Basic31.yml	true	true	3.361535	1.8047949229949154	96.280576	true	3.362542	1.8333000509883277	112.390144
jbmc-regression/StringValueOf10.yml	true	true	1.842425	1.0454195310012437	90.894336	true	1.866299	1.0609284779930022	107.614208
jbmc-regression/StringBuilderChars02.yml	true	true	1.683496	0.9689953660126776	87.744512	true	1.950217	1.1170632819994353	108.580864
jbmc-regression/StringStartEnd02.yml	true	true	1.928459	1.082701002014801	91.947008	true	1.889562	1.0972044100053608	109.645824
jbmc-regression/StringStartEnd03.yml	true	true	1.918171	1.0799546090129297	93.671424	true	1.949909	1.1205482890072744	110.190592
jbmc-regression/CharSequenceToString.yml	true	true	1.989462	1.1170636909955647	125.284352	true	1.845024	1.0732240219949745	128.135168
jbmc-regression/StringBuilderChars06.yml	true	true	1.810932	1.004968972003553	88.338432	true	1.850662	1.0431368940044194	108.863488
jbmc-regression/StringConcatenation04.yml	true	true	1.683728	0.9511590109905228	87.625728	true	1.811551	1.0239399900019635	108.306432
jbmc-regression/StringBuilderCapLen02.yml	true	true	1.86317	1.052889148995746	98.852864	true	1.887278	1.0472442119789775	121.614336
jbmc-regression/StringContains02.yml	true	true	1.794142	1.0351228460203856	88.289280	true	1.858693	1.049387631996069	108.326912
jbmc-regression/StringConstructors04.yml	true	true	1.716322	0.9758186810067855	87.699456	true	1.818745	1.0334099030005746	108.756992
jbmc-regression/StringConstructors02.yml	true	true	1.797809	1.0337261130043771	87.236608	true	1.928762	1.0823591380030848	108.097536
jbmc-regression/StringContains01.yml	true	true	1.769906	0.994120914983796	87.838720	true	1.811844	1.0315517650160473	109.264896
jbmc-regression/bug-test-gen-095.yml	true	true	1.841609	1.0345456420036498	89.722880	true	1.881467	1.0409896530036349	107.507712
jbmc-regression/StringConcatenation03.yml	true	true	2.18065	1.2130874459980987	133.287936	true	1.951322	1.080967165005859	120.954880
jbmc-regression/StringConcatenation02.yml	true	true	1.736648	0.9851347419898957	91.430912	true	1.804524	1.031855159002589	108.187648
jbmc-regression/StringConcatenation01.yml	true	true	2.020204	1.1286885970039293	103.788544	true	2.128982	1.1877442210097797	121.909248
jbmc-regression/StringConstructors03.yml	true	true	1.796477	1.0195093189831823	88.174592	true	1.832778	1.0348500889958814	108.314624
jbmc-regression/StringConstructors05.yml	true	true	1.739358	0.9940730939852074	88.440832	true	1.971554	1.0980233480222523	126.107648
strings-MAS/UpperCaseTest.yml	true	true	1.828643	1.0275998820143286	91.316224	true	3.398504	2.6647006009879988	119.635968
strings-MAS/ReplaceTest.yml	true	true	2.115914	1.1658276210073382	120.446976	true	1.832429	1.031054930004757	109.150208
strings-MAS/IsEmptyTest.yml	true	true	2.04205	1.1396455260110088	113.627136	true	2.011824	1.18775710198679	130.191360
strings-MAS/ValueOfTest.yml	true	true	2.118814	1.1840076300140936	98.942976	true	2.207851	1.248257885017665	120.823808
strings-MAS/ReverseTest.yml	true	true	1.998542	1.1188085910107475	101.273600	true	2.466549	1.6809751120163128	112.033792
strings-MAS/TrimTest.yml	true	true	1.923851	1.0884708800003864	91.344896	unknown	1.878373	1.069183351995889	107.532288
strings-MAS/DeleteTest.yml	true	true	1.796235	1.017058408993762	90.087424	true	1.857506	1.0713315710017923	108.687360
strings-MAS/HelloWorld.yml	true	true	1.789526	1.00731477298541	86.769664	true	1.929805	1.073409956006799	120.938496
strings-MAS/IndexOfTest.yml	true	true	1.680734	0.9508609059848823	102.141952	true	1.668307	0.9475628429790959	102.060032
strings-MAS/ContainsTest.yml	true	true	2.17175	1.2020717439881992	124.379136	TIMEOUT	30.117947	29.269809803983662	194.805760
strings-MAS/InsertTest.yml	true	true	2.741605	1.4841772799845785	180.199424	true	2.109849	1.2210984679986723	111.460352
strings-MAS/LowerCaseTest.yml	true	true	1.762227	0.9888255230034702	90.730496	true	3.510805	2.775642925000284	120.737792
strings-MAS/StartsWithTest.yml	true	true	1.798679	1.0146292669815011	90.136576	true	1.984427	1.1812844699888956	109.932544
strings-MAS/EndsWithTest.yml	true	true	2.212201	1.2122582330193836	117.825536	true	1.999804	1.1891299360140692	110.616576
strings-MAS/ConcatTest.yml	true	true	1.93225	1.0978034109866712	113.074176	true	1.812244	1.0409386990068015	107.900928
strings-MAS/CharAtTest.yml	true	true	1.903089	1.0641148069989868	115.150848	true	1.863503	1.0897629169921856	128.163840
